stop_name,daytime_routes,division,line,Neighborhood,borough,borocd,poverty_rate,poverty 100,Near poverty,In or near poverty,density,2019  average,2020 average,%increase average,percent increase edit,sum 2019,2020 sum,under18_rate,over65_rate,pct_white_nh,pct_bach_deg,pct_hh_rent_burd,mean_commute,unemployment
79 St,D,BMT,West End,Bensonhurst & Bath Beach,Bk,311,22.5,22.6,28.9,51.4,49184.05405,6176.317808,2489.422222,-0.573701167,-57.37%,1943852,815040,21.3,15.6,40.2,30.5,49.9,46.6,4.1
18 Av,D,BMT,West End,Bensonhurst & Bath Beach,Bk,311,22.5,22.6,28.9,51.4,49184.05405,6176.317808,2489.422222,-0.559408271,-55.94%,1964740,853790,21.3,15.6,40.2,30.5,49.9,46.6,4.1
20 Av,D,BMT,West End,Bensonhurst & Bath Beach,Bk,311,22.5,22.6,28.9,51.4,49184.05405,6176.317808,2489.422222,-0.550897683,-55.09%,1597421,707578,21.3,15.6,40.2,30.5,49.9,46.6,4.1
Bay Pkwy,D,BMT,West End,Bensonhurst & Bath Beach,Bk,311,22.5,22.6,28.9,51.4,49184.05405,6176.317808,2489.422222,-0.550596633,-55.06%,2480792,1099604,21.3,15.6,40.2,30.5,49.9,46.6,4.1
25 Av,D,BMT,West End,Bensonhurst & Bath Beach,Bk,311,22.5,22.6,28.9,51.4,49184.05405,6176.317808,2489.422222,-0.59004126,-59.00%,1539582,622519,21.3,15.6,40.2,30.5,49.9,46.6,4.1
Bay 50 St,D,BMT,West End,Brighton Beach & Coney Island,Bk,313,24.4,25.1,28.9,54,32586.875,9381.605479,3532.3,-0.566323044,-56.63%,839438,359058,19.9,23.9,55.9,38.6,45.2,46.8,4.5
8 Av,N,BMT,Sea Beach,Bay Ridge & Dyker Heights,Bk,310,19,17.6,20.4,38,31122.75,8908.531507,3590.094444,-0.640405561,-64.04%,3827941,1346002,19.6,16.6,54.6,41.8,43.4,44.5,3.8
Fort Hamilton Pkwy,N,BMT,Sea Beach,Bay Ridge & Dyker Heights,Bk,310,19,17.6,20.4,38,31122.75,8908.531507,3590.094444,-0.4293781,-42.94%,1370406,775521,19.6,16.6,54.6,41.8,43.4,44.5,3.8
18 Av,N,BMT,Sea Beach,Bensonhurst & Bath Beach,Bk,311,22.5,22.6,28.9,51.4,49184.05405,6176.317808,2489.422222,-0.4199838,-42.00%,1192328,682096,21.3,15.6,40.2,30.5,49.9,46.6,4.1
20 Av,N,BMT,Sea Beach,Bensonhurst & Bath Beach,Bk,311,22.5,22.6,28.9,51.4,49184.05405,6176.317808,2489.422222,-0.571370183,-57.14%,1148607,485583,21.3,15.6,40.2,30.5,49.9,46.6,4.1
Bay Pkwy,N,BMT,Sea Beach,Bensonhurst & Bath Beach,Bk,311,22.5,22.6,28.9,51.4,49184.05405,6176.317808,2489.422222,-0.544572606,-54.46%,2091856,939638,21.3,15.6,40.2,30.5,49.9,46.6,4.1
Kings Hwy,N,BMT,Sea Beach,Bensonhurst & Bath Beach,Bk,311,22.5,22.6,28.9,51.4,49184.05405,6176.317808,2489.422222,-0.487555277,-48.76%,1398635,706905,21.3,15.6,40.2,30.5,49.9,46.6,4.1
Avenue U,N,BMT,Sea Beach,Bensonhurst & Bath Beach,Bk,311,22.5,22.6,28.9,51.4,49184.05405,6176.317808,2489.422222,-0.506529749,-50.65%,1040239,513327,21.3,15.6,40.2,30.5,49.9,46.6,4.1
86 St,N,BMT,Sea Beach,"Sheepshead Bay, Gerritsen Beach & Homecrest",Bk,315,18.6,17.5,25.4,42.9,33968.08511,3830.142466,1614.866667,-0.47460313,-47.46%,725371,375887,22,18.3,65.5,40.2,47,46.3,3.7
5 Av/59 St,N W R,BMT,Astoria,Upper East Side,M,108,7.2,6.3,6.2,12.5,109960,4961.260274,2356.602778,-0.870890623,-87.09%,12452070,1585656,14.6,20.8,75.3,80.5,32.5,31.4,2
121 St,J Z,BMT,Jamaica,Richmond Hill & Woodhaven,Q,409,21.5,19.6,24.7,44.3,37715,7818.558904,2404.733146,-0.531693942,-53.17%,692525,319871,21.8,12.1,18,27,47.7,46.5,4.2
111 St,J,BMT,Jamaica,Richmond Hill & Woodhaven,Q,409,21.5,19.6,24.7,44.3,37715,7818.558904,2404.733146,-0.478494931,-47.85%,356603,302938,21.8,12.1,18,27,47.7,46.5,4.2
104 St,J Z,BMT,Jamaica,Richmond Hill & Woodhaven,Q,409,21.5,19.6,24.7,44.3,37715,7818.558904,2404.733146,-0.530993225,-53.10%,784369,362835,21.8,12.1,18,27,47.7,46.5,4.2
Woodhaven Blvd,J Z,BMT,Jamaica,Richmond Hill & Woodhaven,Q,409,21.5,19.6,24.7,44.3,37715,7818.558904,2404.733146,-0.494338978,-49.43%,1356567,678425,21.8,12.1,18,27,47.7,46.5,4.2
85 St - Forest Pkwy,J,BMT,Jamaica,Richmond Hill & Woodhaven,Q,409,21.5,19.6,24.7,44.3,37715,7818.558904,2404.733146,-0.478293033,-47.83%,1077286,551249,21.8,12.1,18,27,47.7,46.5,4.2
75 St,J Z,BMT,Jamaica,Richmond Hill & Woodhaven,Q,409,21.5,19.6,24.7,44.3,37715,7818.558904,2404.733146,-0.485781124,-48.58%,1039202,525593,21.8,12.1,18,27,47.7,46.5,4.2
Cypress Hills,J,BMT,Jamaica,East New York & Starrett City,Bk,305,28.7,28.9,29.3,58.2,32660,3560.231844,1693.341667,-0.468018907,-46.80%,427903,224518,25.9,11.5,3.7,14.8,49.7,44.9,4.4
Crescent St,J Z,BMT,Jamaica,East New York & Starrett City,Bk,305,28.7,28.9,29.3,58.2,32660,3560.231844,1693.341667,-0.512545957,-51.25%,1408465,677157,25.9,11.5,3.7,14.8,49.7,44.9,4.4
Norwood Av,J Z,BMT,Jamaica,East New York & Starrett City,Bk,305,28.7,28.9,29.3,58.2,32660,3560.231844,1693.341667,-0.522030132,-52.20%,959893,452515,25.9,11.5,3.7,14.8,49.7,44.9,4.4
Cleveland St,J,BMT,Jamaica,East New York & Starrett City,Bk,305,28.7,28.9,29.3,58.2,32660,3560.231844,1693.341667,-0.508330018,-50.83%,895763,435580,25.9,11.5,3.7,14.8,49.7,44.9,4.4
57 St - 7 Av,N Q R W,BMT,Broadway - Brighton,Midtown Business Distric,M,105,11.3,11.8,10.1,22,32295.625,3712.825967,1225.022222,-0.690293626,-69.03%,11085136,3386108,8.2,13.4,59.1,74.1,33.9,26.7,3.5
Van Siclen Av,J Z,BMT,Jamaica,East New York & Starrett City,Bk,305,28.7,28.9,29.3,58.2,32660,3560.231844,1693.341667,-0.481572227,-48.16%,802485,413732,25.9,11.5,3.7,14.8,49.7,44.9,4.4
Alabama Av,J,BMT,Jamaica,East New York & Starrett City,Bk,305,28.7,28.9,29.3,58.2,32660,3560.231844,1693.341667,-0.462734889,-46.27%,659448,349445,25.9,11.5,3.7,14.8,49.7,44.9,4.4
Chauncey St,J Z,BMT,Jamaica,Brownsville & Ocean Hill,Bk,316,29.4,29.6,31.1,60.7,45509.47368,2488.638356,985.7027778,-0.551592127,-55.16%,1094619,484112,24.4,11.5,2.6,14.4,55.2,46.9,7
Halsey St,J,BMT,Jamaica,Brownsville & Ocean Hill,Bk,316,29.4,29.6,31.1,60.7,45509.47368,2488.638356,985.7027778,-0.596845873,-59.68%,2137864,850082,24.4,11.5,2.6,14.4,55.2,46.9,7
Gates Av,J Z,BMT,Jamaica,Bedford-Stuyvesant,Bk,303,21.2,21.6,29.6,51.3,52753.44828,2920.580822,1350.863889,-0.581054248,-58.11%,2283208,943437,25.3,10.1,26,33.8,45.1,41.8,5.7
Kosciuszko St,J,BMT,Jamaica,Bedford-Stuyvesant,Bk,303,21.2,21.6,29.6,51.3,52753.44828,2920.580822,1350.863889,-0.597726114,-59.77%,1808562,717571,25.3,10.1,26,33.8,45.1,41.8,5.7
Myrtle Av,J M Z,BMT,Jamaica,Bedford-Stuyvesant,Bk,303,21.2,21.6,29.6,51.3,52753.44828,2920.580822,1350.863889,-0.599032542,-59.90%,3899058,1541979,25.3,10.1,26,33.8,45.1,41.8,5.7
Flushing Av,J M,BMT,Jamaica,Bedford-Stuyvesant,Bk,303,21.2,21.6,29.6,51.3,52753.44828,2920.580822,1350.863889,-0.548518596,-54.85%,2809349,1233619,25.3,10.1,26,33.8,45.1,41.8,5.7
Lorimer St,J M,BMT,Jamaica,Greenpoint & Williamsburg,Bk,301,15.5,15.4,27,42.5,36826.17021,1670.775342,814.9472222,-0.592171179,-59.22%,1765914,710325,22,9.6,63,49.6,40.2,34.5,3.7
