country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,driving,transit,walking
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,4/16/20,-86,-46,-67,-80,-77,32,20.71,6.87,7.82
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,4/17/20,-87,-48,-73,-80,-76,33,22.73,6.85,8.43
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,4/18/20,-88,-46,-74,-79,-54,20,20.64,6.24,7.51
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,4/19/20,-86,-44,-53,-76,-51,17,21.01,6.48,9.65
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,4/20/20,-85,-49,-65,-79,-76,31,21.43,7.22,8.35
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,4/21/20,-87,-53,-69,-81,-77,32,20.47,6.88,7.49
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,4/22/20,-85,-46,-63,-80,-76,31,22.13,7.01,8.42
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,4/23/20,-86,-47,-68,-80,-77,32,21.91,7.09,7.96
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,4/24/20,-87,-52,-78,-81,-76,34,23.5,6.97,7.95
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,4/25/20,-84,-36,-42,-75,-49,17,26.02,7.26,11.94
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,4/26/20,-89,-54,-80,-79,-55,19,19.39,6.35,6.23
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,4/27/20,-84,-49,-69,-79,-75,31,21.95,7.35,7.94
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,4/28/20,-83,-41,-42,-78,-75,23,25.24,7.92,10.64
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,4/29/20,-85,-47,-65,-79,-76,31,23.19,7.66,8.43
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,4/30/20,-85,-49,-71,-80,-77,32,23.48,7.39,7.98
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/1/20,-84,-43,-66,-78,-74,31,27.37,8.29,10.09
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/2/20,-81,-31,-28,-73,-45,15,30.13,8.35,14.87
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/3/20,-82,-38,-36,-74,-47,14,26.34,7.93,12.69
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/4/20,-81,-43,-57,-77,-74,29,26.45,8.8,10.21
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/5/20,-81,-39,-51,-77,-74,29,27.3,8.82,11
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/6/20,-84,-47,-68,-78,-75,31,25.22,8.37,8.52
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/7/20,-81,-36,-45,-76,-74,29,27.84,8.79,11.25
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/8/20,-84,-45,-74,-78,-73,32,28,8.14,9.21
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/9/20,-83,-33,-63,-75,-48,17,27.43,7.98,9.63
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/10/20,-81,-36,-45,-73,-46,14,25.53,7.29,10.42
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/11/20,-82,-49,-65,-77,-73,29,,7.66,8.54
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/12/20,-81,-38,-49,-76,-73,28,,6.63,7.44
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/13/20,-81,-39,-46,-75,-73,28,29.18,9.15,11.3
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/14/20,-80,-39,-45,-76,-73,29,30.44,9.15,11.51
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/15/20,-80,-39,-46,-74,-71,28,36.01,10.08,14.78
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/16/20,-79,-32,-26,-71,-43,13,35.09,9.65,16.73
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/17/20,-80,-37,-37,-72,-44,13,29.32,8.65,12.39
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/18/20,-79,-42,-52,-75,-71,28,30.37,9.93,11.72
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/19/20,-79,-38,-46,-74,-72,28,31.91,9.93,12.65
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/20/20,-79,-38,-43,-74,-71,27,32.87,9.95,12.55
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/21/20,-78,-35,-40,-74,-71,27,34.93,10.16,13.59
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,5/22/20,-79,-38,-51,-73,-69,27,39.5,10.5,14.4
