month,state,county,date,driving,transit,walking
Mar,New York,QUEENS,2020/3/17,-31.68,-62.24,-36.18
Mar,New York,STATEN ISLAND,2020/3/17,-30.78,-53.97,-30.68
Mar,New York,BRONX,2020/3/18,-28.71,-54.15,-26.86
Mar,New York,BROOKLYN,2020/3/18,-32.74,-63.39,-41.02
Mar,New York,MANHATTAN,2020/3/18,-68.9,-84.92,-83.68
Mar,New York,QUEENS,2020/3/18,-35.07,-65.62,-36.88
Mar,New York,STATEN ISLAND,2020/3/18,-32.32,-59.96,-27.02
Mar,New York,BRONX,2020/3/19,-33.32,-56.44,-31.73
Mar,New York,BROOKLYN,2020/3/19,-35.51,-64.85,-45.64
Mar,New York,MANHATTAN,2020/3/19,-72.4,-87.07,-86.66
Mar,New York,QUEENS,2020/3/19,-40.19,-66.99,-44.41
Mar,New York,STATEN ISLAND,2020/3/19,-35.1,-58.53,-31.99
Mar,New York,BRONX,2020/3/20,-29.22,-59.72,-27.29
Mar,New York,BROOKLYN,2020/3/20,-31.3,-66.52,-36.95
Mar,New York,MANHATTAN,2020/3/20,-71.29,-87.33,-85.01
Mar,New York,QUEENS,2020/3/20,-37.88,-69.85,-36.74
Mar,New York,STATEN ISLAND,2020/3/20,-31.21,-61.5,-13.67
Mar,New York,BRONX,2020/3/21,-43.24,-69.19,-41.49
Mar,New York,BROOKLYN,2020/3/21,-46.06,-73.93,-46.86
Mar,New York,MANHATTAN,2020/3/21,-77.13,-90.44,-88.5
Mar,New York,QUEENS,2020/3/21,-49.23,-77.32,-47.02
Mar,New York,STATEN ISLAND,2020/3/21,-42.6,-71.38,-28.88
Mar,New York,BRONX,2020/3/22,-59.32,-74.93,-58.34
Mar,New York,BROOKLYN,2020/3/22,-60.18,-79.91,-63.79
Mar,New York,MANHATTAN,2020/3/22,-82.64,-92.54,-92.47
Mar,New York,QUEENS,2020/3/22,-63.82,-81.54,-61.77
Mar,New York,STATEN ISLAND,2020/3/22,-59.49,-74.44,-46.42
Mar,New York,BRONX,2020/3/23,-54.82,-71.97,-57.32
