Date,Borough,count
20200606,Brooklyn,12788
20200606,Manhattan,40406
20200606,Queen,2880
20200607,Bronx,303
20200607,Brooklyn,20190
20200607,Manhattan,55402
20200607,Queen,4546
20200608,Bronx,298
20200608,Brooklyn,13717
20200608,Manhattan,43622
20200608,Queen,3210
20200609,Bronx,303
20200609,Brooklyn,12825
20200609,Manhattan,45241
20200609,Queen,3297
20200610,Bronx,318
20200610,Brooklyn,13512
20200610,Manhattan,46002
20200610,Queen,3276
20200611,Bronx,243
20200611,Brooklyn,8610
20200611,Manhattan,32838
20200611,Queen,2154
20200612,Bronx,346
20200612,Brooklyn,16450
20200612,Manhattan,51882
20200612,Queen,3819
20200613,Bronx,394
20200613,Brooklyn,22183
20200613,Manhattan,62317
20200613,Queen,4796
20200614,Bronx,433
20200614,Brooklyn,20775
20200614,Manhattan,54024
20200614,Queen,4499
20200615,Bronx,370
20200615,Brooklyn,11772
20200615,Manhattan,42481
20200615,Queen,2932
20200616,Bronx,347
20200616,Brooklyn,13477
20200616,Manhattan,48262
20200616,Queen,3209
20200617,Bronx,437
20200617,Brooklyn,12852
20200617,Manhattan,47597
20200617,Queen,3103
20200618,Bronx,393
20200618,Brooklyn,12769
20200618,Manhattan,45734
20200618,Queen,3198
20200619,Bronx,500
20200619,Brooklyn,18646
20200619,Manhattan,56453
20200619,Queen,3681
20200620,Bronx,460
20200620,Brooklyn,20090
20200620,Manhattan,55793
20200620,Queen,4449
20200621,Bronx,422
20200621,Brooklyn,17849
20200621,Manhattan,50062
20200621,Queen,3873
20200622,Bronx,364
20200622,Brooklyn,11993
20200622,Manhattan,44590
20200622,Queen,2841
20200623,Bronx,399
20200623,Brooklyn,13945
20200623,Manhattan,49524
20200623,Queen,3431
20200624,Bronx,416
20200624,Brooklyn,13645
20200624,Manhattan,49527
20200624,Queen,3196
20200625,Bronx,369
20200625,Brooklyn,14712
20200625,Manhattan,51341
20200625,Queen,3156
20200626,Bronx,416
20200626,Brooklyn,16097
20200626,Manhattan,53818
20200626,Queen,3307
20200627,Bronx,287
20200627,Brooklyn,13933
20200627,Manhattan,42217
20200627,Queen,2784
20200628,Bronx,320
20200628,Brooklyn,16515
20200628,Manhattan,48822
20200628,Queen,3447
20200629,Bronx,364
20200629,Brooklyn,12184
20200629,Manhattan,46180
20200629,Queen,2846
20200630,Bronx,448
20200630,Brooklyn,12760
20200630,Manhattan,48835
20200630,Queen,3059
20200701,Bronx,435
20200701,Brooklyn,12027
20200701,Manhattan,48069
20200701,Queen,2875
20200702,Bronx,394
20200702,Brooklyn,15232
20200702,Manhattan,54407
20200702,Queen,3361
20200703,Bronx,334
20200703,Brooklyn,13494
20200703,Manhattan,42746
20200703,Queen,2755
20200704,Bronx,392
20200704,Brooklyn,17105
20200704,Manhattan,49663
20200704,Queen,3828
20200705,Bronx,328
20200705,Brooklyn,15780
20200705,Manhattan,45239
20200705,Queen,3176
20200706,Bronx,342
20200706,Brooklyn,9087
20200706,Manhattan,34406
20200706,Queen,2141
20200707,Bronx,373
20200707,Brooklyn,13460
20200707,Manhattan,50980
20200707,Queen,2997
20200708,Bronx,358
20200708,Brooklyn,12152
20200708,Manhattan,48084
20200708,Queen,2727
20200709,Bronx,497
20200709,Brooklyn,15161
20200709,Manhattan,57380
20200709,Queen,3336
20200710,Bronx,132
20200710,Brooklyn,4360
20200710,Manhattan,17255
20200710,Queen,1030
20200711,Bronx,315
20200711,Brooklyn,15890
20200711,Manhattan,47068
20200711,Queen,3300
20200712,Bronx,482
20200712,Brooklyn,19432
20200712,Manhattan,60487
20200712,Queen,3889
20200713,Bronx,417
20200713,Brooklyn,13496
20200713,Manhattan,52010
20200713,Queen,3094
20200714,Bronx,428
20200714,Brooklyn,14800
20200714,Manhattan,58296
20200714,Queen,3444
20200715,Bronx,392
20200715,Brooklyn,15239
20200715,Manhattan,59122
20200715,Queen,3587
20200716,Bronx,445
20200716,Brooklyn,16077
20200716,Manhattan,59265
20200716,Queen,3461
20200717,Bronx,434
20200717,Brooklyn,14511
20200717,Manhattan,51844
20200717,Queen,3045
20200718,Bronx,359
20200718,Brooklyn,18750
20200718,Manhattan,57685
20200718,Queen,3614
20200719,Bronx,319
20200719,Brooklyn,15426
20200719,Manhattan,47957
20200719,Queen,3087
20200720,Bronx,298
20200720,Brooklyn,11047
20200720,Manhattan,44501
20200720,Queen,2439
20200721,Bronx,391
20200721,Brooklyn,13578
20200721,Manhattan,53565
20200721,Queen,3023
20200722,Bronx,303
20200722,Brooklyn,9690
20200722,Manhattan,39880
20200722,Queen,2115
20200723,Bronx,351
20200723,Brooklyn,12560
20200723,Manhattan,49837
20200723,Queen,2844
20200724,Bronx,364
20200724,Brooklyn,13154
20200724,Manhattan,50484
20200724,Queen,2788
20200725,Bronx,424
20200725,Brooklyn,20646
20200725,Manhattan,62583
20200725,Queen,3983
20200726,Bronx,369
20200726,Brooklyn,16715
20200726,Manhattan,52385
20200726,Queen,3265
20200727,Bronx,378
20200727,Brooklyn,12197
20200727,Manhattan,47231
20200727,Queen,2668
20200728,Bronx,381
20200728,Brooklyn,13581
20200728,Manhattan,53197
20200728,Queen,3209
20200729,Bronx,401
20200729,Brooklyn,15729
20200729,Manhattan,57557
20200729,Queen,3377
20200730,Bronx,352
20200730,Brooklyn,14281
20200730,Manhattan,54299
20200730,Queen,3177
20200731,Bronx,407
20200731,Brooklyn,15213
20200731,Manhattan,52114
20200731,Queen,3112
20200801,Bronx,490
20200801,Brooklyn,21088
20200801,Manhattan,63252
20200801,Queen,4214
20200802,Bronx,441
20200802,Brooklyn,16755
20200802,Manhattan,49583
20200802,Queen,3288
20200803,Bronx,415
20200803,Brooklyn,13042
20200803,Manhattan,50747
20200803,Queen,3015
20200804,Bronx,286
20200804,Brooklyn,8766
20200804,Manhattan,33549
20200804,Queen,1987
20200805,Bronx,499
20200805,Brooklyn,16365
20200805,Manhattan,61472
20200805,Queen,3476
20200806,Bronx,529
20200806,Brooklyn,16143
20200806,Manhattan,58992
20200806,Queen,3466
20200807,Bronx,446
20200807,Brooklyn,12414
20200807,Manhattan,44523
20200807,Queen,2573
20200808,Bronx,608
20200808,Brooklyn,21736
20200808,Manhattan,63793
20200808,Queen,4100
20200809,Bronx,547
20200809,Brooklyn,20134
20200809,Manhattan,58341
20200809,Queen,3745
20200810,Bronx,413
20200810,Brooklyn,14166
20200810,Manhattan,51292
20200810,Queen,3121
20200811,Bronx,446
20200811,Brooklyn,15170
20200811,Manhattan,56422
20200811,Queen,3254
20200812,Bronx,378
20200812,Brooklyn,13762
20200812,Manhattan,49373
